features,labels,item_list
"[12.0, 11.0, 1.0, 1.5, 2.0, 1.0, 1.5, 1.0, 2.0, 2.5, 0.5, 0.5, 1.0, 1.0]","[4.770273608800692, 7.884278149912392, 5.163376319631051, 1.6872920542805891, 9.919866509078563, 3.8660584159403966, 0.5007851987316514, 3.7439520687345786, 2.6933300558934783, 5.592429222231428, 4.746980784163135, 0.6405125563773295]","['WorkDesk', 'MediaUnit', 'Chest', 'Couch', 'FloorLamp', 'Armchair']"
"[10.0, 9.0, 0.5, 0.5, 1.0, 1.0, 1.0, 1.5, 2.5, 2.0, 2.0, 2.0, 2.0, 1.5]","[6.553438486297482, 1.8444817561576818, 2.0742769111237362, 4.453442737348132, 8.84894489125614, 2.3635779090304663, 3.196971063830036, 5.78753503593901, 3.425329423250539, 1.9775879159618497, 5.80645212970886, 2.864582348278343]","['FloorLamp', 'Armchair', 'Chest', 'Couch', 'Closet', 'CoffeeTable']"
"[8.0, 11.0, 1.0, 1.0, 0.5, 0.5, 2.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.962498667806541, 2.7497780168553785, 6.266300595881395, 2.7545587308622848, 4.781148978548956, 7.536881621732376, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Armchair', 'FloorLamp', 'CoffeeTable']"
"[12.0, 9.0, 0.5, 0.5, 2.0, 2.5, 1.5, 2.0, 1.0, 1.5, 0.0, 0.0, 0.0, 0.0]","[3.914008898514047, 2.20677580268011, 3.041787039116688, 3.7198234866209097, 6.47306395539755, 5.983181369792644, 10.158936079359917, 0.8677216666074248, 0.0, 0.0, 0.0, 0.0]","['FloorLamp', 'Couch', 'CoffeeTable', 'WorkDesk']"
"[9.0, 11.0, 0.5, 0.5, 2.0, 2.5, 1.0, 1.5, 2.5, 1.0, 1.0, 2.0, 2.0, 2.0]","[0.653825909805239, 0.7758973442354858, 6.611407725664216, 1.2987872194158803, 6.116038218976393, 4.476456264487916, 1.3455800617782894, 7.163929924694147, 0.1491215653365936, 3.693119222570649, 1.5421974901113642, 4.3262176851438]","['FloorLamp', 'Couch', 'WorkDesk', 'Bookcase', 'MediaUnit', 'Closet']"
"[8.0, 9.0, 2.0, 2.0, 1.0, 2.0, 2.5, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.3943536668656638, 6.849086665985819, 2.3459933906275205, 5.217117873024883, 2.1741773269508124, 3.2996578105350425, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Closet', 'MediaUnit', 'Bookcase']"
"[10.0, 9.0, 1.5, 2.0, 1.0, 1.0, 2.0, 2.0, 0.5, 0.5, 2.0, 2.5, 1.5, 1.0]","[1.909586439661973, 4.397811352797118, 7.6925451680499926, 6.292418512482069, 4.581777024177578, 0.6468974295576465, 5.215079417850872, 2.700328174133115, 4.177323994600492, 4.6365768871254245, 1.2369121402304946, 2.6595518665895117]","['CoffeeTable', 'Armchair', 'Closet', 'FloorLamp', 'Couch', 'WorkDesk']"
"[11.0, 10.0, 1.5, 2.0, 1.0, 1.5, 2.5, 1.0, 0.5, 0.5, 2.0, 1.0, 1.5, 1.0]","[0.4319259675273119, 1.5088501203835447, 1.5814413098754432, 7.754526110181113, 8.331894372228353, 3.686534636914424, 4.200596921994865, 1.5918708684472498, 6.882164131142742, 4.95658689528241, 6.208664219855083, 6.150572021205582]","['CoffeeTable', 'Chest', 'Bookcase', 'FloorLamp', 'MediaUnit', 'WorkDesk']"
"[12.0, 10.0, 1.0, 1.0, 2.5, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5.199261566683758, 7.0356050418161065, 8.613574596896214, 0.5413634502008724, 4.038993539723269, 1.2959185605476353, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Armchair', 'Bookcase', 'MediaUnit']"
"[11.0, 9.0, 2.0, 2.0, 1.5, 1.0, 1.0, 1.0, 2.5, 1.0, 0.0, 0.0, 0.0, 0.0]","[2.9351523352778064, 4.718417681327956, 8.388455541837802, 5.716100181014131, 8.212103894421407, 2.0982583571180644, 3.7465213142240454, 7.75103910509016, 0.0, 0.0, 0.0, 0.0]","['Closet', 'Chest', 'Armchair', 'Bookcase']"
"[10.0, 8.0, 1.0, 1.0, 1.5, 1.0, 2.0, 2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[4.744384178775535, 0.0030718857288991597, 7.867453208730533, 3.2377014679397824, 2.3486594119831326, 0.057690672330125814, 3.9336248887909733, 3.787106157699065, 0.0, 0.0, 0.0, 0.0]","['Armchair', 'WorkDesk', 'Closet', 'MediaUnit']"
"[9.0, 12.0, 2.0, 1.0, 2.0, 1.5, 1.5, 1.0, 2.5, 2.0, 0.0, 0.0, 0.0, 0.0]","[2.124169388069654, 3.2425465981097723, 4.670630686561996, 2.4429495432137482, 2.2244964286924875, 8.970836675683467, 6.237864186810753, 6.783273162893266, 0.0, 0.0, 0.0, 0.0]","['MediaUnit', 'CoffeeTable', 'Chest', 'Couch']"
"[10.0, 9.0, 1.0, 1.0, 1.0, 1.5, 1.5, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.11277284676529586, 0.7084081610485038, 5.436126879176253, 2.39424056582988, 5.688901612507866, 6.217628723030385, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Armchair', 'WorkDesk', 'Chest']"
"[12.0, 12.0, 1.0, 1.0, 2.0, 2.0, 2.5, 2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[7.5002411698807325, 4.919350699590999, 8.694301230860228, 5.592112308086527, 1.992647546198791, 2.818259979890061, 8.607988248764583, 7.844281236439533, 0.0, 0.0, 0.0, 0.0]","['Armchair', 'Closet', 'Couch', 'MediaUnit']"
"[12.0, 10.0, 1.0, 1.5, 0.5, 0.5, 1.5, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.866773597725337, 5.441632677202959, 1.348365967077108, 5.669582428635309, 0.9981071374222605, 8.104366224313013, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Chest', 'FloorLamp', 'WorkDesk']"
"[9.0, 12.0, 1.0, 1.0, 1.5, 1.0, 0.5, 0.5, 1.5, 2.0, 0.0, 0.0, 0.0, 0.0]","[1.645170103247061, 7.160149886481131, 4.239340242205206, 7.9268922398438795, 3.104004365030607, 9.286607049986651, 1.3158012472187461, 3.6338314976462707, 0.0, 0.0, 0.0, 0.0]","['Armchair', 'WorkDesk', 'FloorLamp', 'CoffeeTable']"
"[9.0, 8.0, 2.0, 2.0, 1.0, 1.0, 2.0, 2.5, 1.0, 2.5, 0.0, 0.0, 0.0, 0.0]","[5.97758903713814, 5.801748325763429, 4.799248314011259, 0.04035962284421346, 2.638593978055975, 4.166721709034102, 6.610441769413526, 0.7831054277960909, 0.0, 0.0, 0.0, 0.0]","['Closet', 'Armchair', 'Couch', 'Bookcase']"
"[12.0, 10.0, 1.0, 1.0, 0.5, 0.5, 1.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.574262254647303, 8.076676753960008, 8.22968430217327, 2.4048977476304554, 10.581488437314997, 5.694692470991094, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Armchair', 'FloorLamp', 'WorkDesk']"
"[12.0, 8.0, 0.5, 0.5, 2.0, 2.0, 2.0, 1.0, 1.5, 2.0, 2.5, 2.0, 0.0, 0.0]","[11.383229254781787, 3.47903284640898, 4.119692770040554, 0.6548476572740729, 8.042821464283596, 3.3479268654262517, 7.683348397867276, 5.533684983408499, 5.011143556300662, 2.8744131502962462, 0.0, 0.0]","['FloorLamp', 'Closet', 'MediaUnit', 'CoffeeTable', 'Couch']"
"[12.0, 11.0, 1.0, 1.5, 1.5, 1.0, 1.0, 2.0, 2.5, 2.0, 0.0, 0.0, 0.0, 0.0]","[0.8835921366018462, 9.449478912909017, 10.089999602539136, 1.2030836681397084, 7.176334155996125, 2.0275067149947823, 1.9938145398625733, 4.075417216970047, 0.0, 0.0, 0.0, 0.0]","['WorkDesk', 'Chest', 'MediaUnit', 'Couch']"
"[8.0, 9.0, 2.0, 2.5, 1.0, 2.0, 1.5, 1.0, 2.0, 1.5, 0.0, 0.0, 0.0, 0.0]","[1.9316679980387315, 2.4821147201328504, 0.22002104824384217, 5.326634143454612, 4.404125403230703, 6.144089761717533, 1.0018703163625569, 0.9321705279401193, 0.0, 0.0, 0.0, 0.0]","['Couch', 'MediaUnit', 'WorkDesk', 'CoffeeTable']"
"[8.0, 8.0, 2.0, 2.0, 1.0, 2.5, 2.0, 2.5, 1.0, 1.0, 1.5, 1.0, 0.0, 0.0]","[0.09580179529230959, 5.331474916704138, 4.8259765532279975, 4.448813926013757, 2.6004192360937024, 2.319484104164967, 2.308695672096259, 0.09928602996218716, 6.298454090698974, 1.0157460255685598, 0.0, 0.0]","['Closet', 'Bookcase', 'Couch', 'Armchair', 'Chest']"
"[12.0, 11.0, 1.0, 1.5, 2.0, 1.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0151838541228748, 1.6680553004927614, 5.440000033032204, 9.233464619832066, 7.310719587800923, 2.1463734636307676, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Chest', 'CoffeeTable', 'FloorLamp']"
"[12.0, 8.0, 2.0, 2.5, 1.5, 1.0, 2.0, 2.0, 2.5, 1.0, 0.5, 0.5, 2.0, 1.5]","[7.99905886384089, 0.7188714456256939, 10.325122773526996, 3.8219083075900255, 7.643679061945841, 5.908224705216904, 5.132303741519206, 2.7076567500130473, 10.293004726181497, 6.087795488810795, 5.04681696503174, 4.2548702721745055]","['Couch', 'Chest', 'Closet', 'Bookcase', 'FloorLamp', 'CoffeeTable']"
"[11.0, 9.0, 1.0, 1.5, 1.0, 1.5, 2.5, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.339724258457993, 6.410343322591609, 6.416502260560893, 1.6686896448634116, 0.7172888413119223, 5.797055939466612, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Chest', 'WorkDesk', 'Bookcase']"
"[11.0, 10.0, 2.5, 2.0, 0.5, 0.5, 1.0, 1.0, 1.0, 1.5, 2.5, 1.0, 0.0, 0.0]","[7.397764959252358, 4.908585069193384, 9.325692192250502, 0.654591021352614, 0.19027128828033146, 6.315923986175338, 5.326212609715491, 2.8905210573819806, 1.9995133002296703, 2.725811419420029, 0.0, 0.0]","['Couch', 'FloorLamp', 'Armchair', 'Chest', 'Bookcase']"
"[11.0, 12.0, 1.0, 2.5, 0.5, 0.5, 2.0, 1.5, 1.0, 1.5, 0.0, 0.0, 0.0, 0.0]","[2.9610486113896686, 8.06004552851942, 9.532028358562378, 8.850475523152422, 5.359354509073368, 8.54526626616043, 6.676380462627884, 10.232720549618495, 0.0, 0.0, 0.0, 0.0]","['Bookcase', 'FloorLamp', 'CoffeeTable', 'Chest']"
"[11.0, 10.0, 2.0, 2.5, 0.5, 0.5, 1.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.9627777977897707, 2.551257835063055, 0.9918836306180614, 2.9650394353492064, 6.026589596910252, 5.008742267590616, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Couch', 'FloorLamp', 'Bookcase']"
"[11.0, 9.0, 0.5, 0.5, 2.0, 2.0, 1.5, 2.0, 2.5, 2.0, 1.0, 1.5, 0.0, 0.0]","[7.3347472334163015, 0.38226727276190114, 6.83591518537589, 6.733043219235148, 1.2148883356660125, 2.474215152241939, 3.0373433161751366, 4.545754324993587, 7.2054575342100495, 4.990601834142207, 0.0, 0.0]","['FloorLamp', 'Closet', 'CoffeeTable', 'Couch', 'WorkDesk']"
"[10.0, 8.0, 1.5, 2.0, 0.5, 0.5, 2.0, 1.0, 1.0, 2.5, 1.5, 1.0, 0.0, 0.0]","[4.6957824594924835, 0.8390975076129301, 2.699831748717413, 1.9226817774622815, 7.473465314781622, 3.8997792993866023, 0.5254534646218345, 2.4625550564431506, 7.663274531595732, 6.700348843789945, 0.0, 0.0]","['CoffeeTable', 'FloorLamp', 'MediaUnit', 'Bookcase', 'Chest']"
"[11.0, 12.0, 0.5, 0.5, 1.0, 1.5, 1.5, 1.0, 1.0, 1.0, 1.5, 2.0, 0.0, 0.0]","[3.532890873905408, 2.6449122938734053, 6.743447343681947, 2.231166068311742, 9.466642861361656, 10.856202655265044, 0.4868839663841207, 7.454567633254698, 2.4796659973338775, 4.614339875099316, 0.0, 0.0]","['FloorLamp', 'Chest', 'WorkDesk', 'Armchair', 'CoffeeTable']"
"[8.0, 12.0, 2.5, 2.0, 0.5, 0.5, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3828446806239737, 4.804095942257554, 6.721397509153491, 8.084743599258893, 0.6904471378963561, 0.4086241769418475, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Couch', 'FloorLamp', 'Closet']"
"[10.0, 11.0, 1.5, 2.0, 1.0, 2.0, 1.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.272450090258499, 8.813929995346959, 5.392922059819184, 6.201009296404936, 7.336537653441123, 3.089653303239766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['CoffeeTable', 'MediaUnit', 'WorkDesk']"
"[10.0, 10.0, 1.0, 1.0, 0.5, 0.5, 2.0, 2.5, 1.5, 1.0, 0.0, 0.0, 0.0, 0.0]","[7.833634849667571, 4.366726655499667, 4.753287522680559, 5.323996285246803, 2.5515646192994934, 6.965322048747182, 4.7445303422434115, 6.97472440055062, 0.0, 0.0, 0.0, 0.0]","['Armchair', 'FloorLamp', 'Couch', 'Chest']"
"[11.0, 8.0, 1.0, 1.5, 1.0, 2.0, 1.5, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[9.899195505295742, 6.433085189611432, 4.172253267530504, 0.9629432692447051, 7.619954193754182, 0.7203810634634584, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Chest', 'MediaUnit', 'WorkDesk']"
"[8.0, 10.0, 1.0, 1.5, 2.5, 1.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.234553425686148, 2.327748246008687, 3.816353700011935, 4.510955616304783, 2.605945252816586, 5.917416007049932, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['WorkDesk', 'Bookcase', 'FloorLamp']"
"[10.0, 8.0, 2.0, 2.0, 2.5, 2.0, 1.0, 2.0, 1.5, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.7930352700187626, 4.694813942767627, 3.2356730889758083, 4.20020380066909, 7.6662500935607785, 4.681071981951324, 1.7779507155382106, 0.4551599945304041, 0.0, 0.0, 0.0, 0.0]","['Closet', 'Couch', 'MediaUnit', 'Chest']"
"[8.0, 8.0, 1.5, 2.0, 2.0, 2.0, 0.5, 0.5, 1.0, 1.0, 1.0, 1.5, 2.5, 2.0]","[3.352805723134836, 3.370066874832631, 4.678840916273337, 5.788383781150427, 1.382298619781118, 3.5774894727394497, 6.064964366275344, 4.666066193112847, 0.29043244574272487, 2.1906334561251306, 3.8686515812567293, 0.1545940963456136]","['CoffeeTable', 'Closet', 'FloorLamp', 'Armchair', 'WorkDesk', 'Couch']"
"[8.0, 9.0, 2.0, 2.0, 1.0, 1.5, 2.5, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.4803428251102908, 4.1858474799186105, 5.101990932671953, 6.942873695417502, 0.5668530244056498, 0.44202866156189946, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Closet', 'WorkDesk', 'Couch']"
"[11.0, 9.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 2.5, 2.0, 2.5, 1.0, 0.0, 0.0]","[0.2411873957995303, 4.057729364351616, 8.301533172105675, 6.364181352956095, 2.212388908426292, 1.832718878611661, 6.710837856438197, 3.600900281459186, 6.344854823338055, 2.555587142295505, 0.0, 0.0]","['MediaUnit', 'Armchair', 'Closet', 'Couch', 'Bookcase']"
"[12.0, 10.0, 0.5, 0.5, 1.5, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[8.654414091868132, 6.768666585085602, 2.7172622548818004, 5.656067361614955, 5.816749315083919, 4.62696507623126, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['FloorLamp', 'CoffeeTable', 'Closet']"
"[12.0, 11.0, 1.0, 2.0, 1.5, 1.0, 1.5, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.7527326643118695, 3.7578005868209488, 2.3407278516602696, 1.1495933910034761, 0.7482047058289114, 4.060127182957604, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['MediaUnit', 'WorkDesk', 'Chest']"
"[11.0, 12.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.9121689429801292, 4.293736875030436, 1.400607929150572, 1.8279475832032221, 1.6738380655023744, 7.565720526564252, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Armchair', 'Closet', 'Bookcase']"
"[11.0, 11.0, 2.0, 1.5, 1.5, 1.0, 2.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5.284551042807162, 8.143019407601674, 4.251809330769169, 0.07833643996721595, 2.224639977315314, 3.4811111741567857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['CoffeeTable', 'Chest', 'Couch']"
"[8.0, 10.0, 1.0, 1.5, 0.5, 0.5, 1.0, 1.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0]","[1.5755731979344267, 4.899007561430832, 4.664307275309628, 0.4494307868133255, 3.6685751901215315, 8.912436462913716, 2.3396196706705106, 2.200884459532756, 0.0, 0.0, 0.0, 0.0]","['Chest', 'FloorLamp', 'Armchair', 'Closet']"
"[8.0, 11.0, 1.0, 1.0, 2.0, 2.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3153793026548698, 4.281363437764821, 3.576420932460862, 0.15050522416149315, 1.0313875634872245, 8.54152753510613, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Armchair', 'Closet', 'FloorLamp']"
"[8.0, 12.0, 2.0, 1.5, 1.0, 1.0, 2.5, 2.0, 2.5, 1.0, 1.0, 1.5, 0.0, 0.0]","[3.2358048246538367, 8.241310105785308, 6.2277139490714335, 7.2856773859195325, 2.083651581773223, 5.228155000654423, 2.148077465628366, 10.755947850357746, 4.9625266682654505, 1.868535454355126, 0.0, 0.0]","['CoffeeTable', 'Armchair', 'Couch', 'Bookcase', 'Chest']"
"[8.0, 10.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.651583458774388, 1.4906483121894922, 0.22216972904499432, 4.848196441981004, 5.749943303508317, 1.7752600553772095, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Closet', 'MediaUnit', 'CoffeeTable']"
"[9.0, 8.0, 2.5, 1.0, 2.0, 2.0, 1.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.6867123298449511, 3.6609611815421266, 3.5670961880280476, 4.939185089576889, 0.8241411643047467, 1.1766978201863523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Bookcase', 'Closet', 'Chest']"
"[9.0, 8.0, 2.0, 1.5, 2.0, 2.0, 1.0, 1.0, 1.5, 1.0, 1.0, 2.0, 0.0, 0.0]","[2.1073139259383584, 3.219130011516852, 0.08506523177638081, 5.129910134571491, 0.10300159263218678, 0.694960211028154, 7.061804853070565, 6.072400058374668, 7.92995709169598, 3.903988961731032, 0.0, 0.0]","['CoffeeTable', 'Closet', 'Armchair', 'Chest', 'MediaUnit']"
"[9.0, 9.0, 1.5, 1.0, 1.0, 1.0, 2.0, 1.5, 2.0, 2.0, 1.0, 2.5, 2.5, 2.0]","[0.9615312123393205, 2.392256538848179, 7.6548771989707, 1.824915587871402, 3.233303711714451, 4.397845578270041, 4.539927778858994, 1.3400978843526714, 7.265175844835952, 4.381102959467491, 0.5761010011187542, 3.838812083861435]","['WorkDesk', 'Armchair', 'CoffeeTable', 'Closet', 'Bookcase', 'Couch']"
"[11.0, 12.0, 1.0, 1.0, 2.5, 2.0, 2.0, 2.0, 1.0, 2.5, 1.5, 1.0, 1.5, 1.0]","[7.01771441682577, 7.214772317177594, 5.940169671290514, 5.0141215513098105, 0.5078946369355285, 5.572570838705502, 4.50848162741123, 0.3148658716700003, 3.90477150180295, 7.30462764846405, 3.340275253754885, 5.700735103390401]","['Armchair', 'Couch', 'Closet', 'Bookcase', 'WorkDesk', 'Chest']"
"[11.0, 9.0, 1.5, 1.0, 2.0, 2.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.573128491959972, 2.275398744440989, 1.667770352273503, 0.2713752470774611, 6.926883925550689, 4.2546272790373605, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['WorkDesk', 'Closet', 'FloorLamp']"
"[8.0, 8.0, 2.0, 1.5, 2.5, 1.0, 1.0, 1.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0]","[5.789936159000776, 0.39834897616154263, 3.218980251797911, 5.174072645141164, 1.4483767323434926, 4.471169923701436, 0.8445489222905569, 5.852686000014467, 0.0, 0.0, 0.0, 0.0]","['CoffeeTable', 'Bookcase', 'Armchair', 'Closet']"
"[11.0, 12.0, 1.5, 1.0, 2.0, 2.5, 2.0, 1.0, 2.0, 2.0, 0.5, 0.5, 1.0, 1.0]","[6.235747068016514, 9.890822292280259, 5.946095036040968, 5.157805913082745, 3.415658778839422, 5.023283233316347, 8.523346838359176, 2.436081981405771, 4.11264301734373, 0.43792838540222967, 1.2145854755762409, 2.138659713393799]","['Chest', 'Couch', 'MediaUnit', 'Closet', 'FloorLamp', 'Armchair']"
"[10.0, 10.0, 2.5, 2.0, 1.0, 1.0, 2.5, 1.0, 2.0, 1.0, 1.5, 1.0, 0.5, 0.5]","[1.8554216840828575, 3.0199451813353075, 1.472195120234103, 8.073799027612809, 6.565271311663437, 5.489823737157642, 4.397348084431832, 4.814882215910671, 0.8518981068107747, 6.809843602349544, 6.5674431264457, 3.270583185739532]","['Couch', 'Armchair', 'Bookcase', 'MediaUnit', 'WorkDesk', 'FloorLamp']"
"[10.0, 12.0, 2.0, 2.0, 1.5, 1.0, 2.5, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5.589533969350464, 6.204407781772209, 4.308752240936625, 9.919228982695348, 1.8305832280412613, 1.9952543677698342, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Closet', 'WorkDesk', 'Couch']"
"[8.0, 12.0, 0.5, 0.5, 1.0, 1.5, 2.5, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[4.719027414573737, 8.17987238682509, 1.237523784393064, 6.243612567644215, 0.7547488261723152, 9.887134288690916, 3.3954914961318856, 1.0553739168468164, 0.0, 0.0, 0.0, 0.0]","['FloorLamp', 'WorkDesk', 'Bookcase', 'Armchair']"
"[10.0, 12.0, 2.0, 2.0, 2.5, 2.0, 1.5, 1.0, 2.0, 1.5, 0.5, 0.5, 1.0, 2.5]","[6.172999329521076, 7.840953363110322, 0.8487659418356122, 0.7646713534733507, 3.131119006612903, 8.21315739211579, 0.8493157255512731, 4.952312574503205, 3.530227399709504, 4.9968137608841525, 4.2110123674637, 1.2901160940650551]","['Closet', 'Couch', 'Chest', 'CoffeeTable', 'FloorLamp', 'Bookcase']"
"[10.0, 8.0, 1.0, 1.0, 1.5, 1.0, 2.0, 2.5, 1.5, 1.0, 2.0, 1.0, 2.0, 2.0]","[7.151192682361242, 1.45055142046261, 3.2964546018726293, 2.0370460785819837, 0.843019511333913, 3.8980722730903556, 0.46208152660179996, 1.3293799010428264, 3.004392699144784, 5.094552325403895, 6.5618775400811105, 4.684754123637365]","['Armchair', 'Chest', 'Couch', 'WorkDesk', 'MediaUnit', 'Closet']"
"[10.0, 11.0, 1.0, 1.5, 0.5, 0.5, 1.0, 2.0, 2.0, 1.5, 1.0, 1.0, 1.0, 1.5]","[0.7467092112731769, 0.11969093590895702, 2.581644618521262, 2.2016016188312606, 7.671208269601602, 3.6006789903576717, 4.92720578366132, 2.800262639431546, 1.4088504842199443, 6.504330598897213, 6.028763646461693, 5.005985914062728]","['Chest', 'FloorLamp', 'MediaUnit', 'CoffeeTable', 'Armchair', 'WorkDesk']"
"[12.0, 12.0, 1.0, 1.5, 2.0, 2.0, 1.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.6345748869241935, 8.14306427218942, 1.6457266446420316, 5.3628138286702, 9.69818812091363, 4.323135557195751, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Chest', 'Closet', 'WorkDesk']"
"[11.0, 9.0, 2.0, 1.5, 1.0, 2.0, 0.5, 0.5, 1.0, 1.5, 0.0, 0.0, 0.0, 0.0]","[7.982988440853922, 2.6816055661082236, 3.7405550801368226, 1.132423764782827, 7.688355231296183, 7.445887200943083, 8.48735395892813, 6.168088539556581, 0.0, 0.0, 0.0, 0.0]","['CoffeeTable', 'MediaUnit', 'FloorLamp', 'WorkDesk']"
"[8.0, 11.0, 2.5, 1.0, 0.5, 0.5, 1.5, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.8448095779627878, 0.20477745811517734, 4.172030739756949, 5.499674189432785, 5.322277469944755, 6.703303741133727, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Bookcase', 'FloorLamp', 'CoffeeTable']"
"[9.0, 12.0, 1.0, 1.5, 2.0, 2.0, 2.0, 1.5, 2.5, 2.0, 1.0, 1.0, 1.5, 1.0]","[7.618074929735162, 4.498757279699678, 4.85789085494768, 3.0058553781397435, 4.7322297081223725, 5.286677265957514, 5.294361036239082, 7.819832309825781, 3.272082842167012, 4.142621640767233, 1.2329006383876777, 2.373191707654432]","['WorkDesk', 'Closet', 'CoffeeTable', 'Couch', 'Armchair', 'Chest']"
"[8.0, 11.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.5, 1.5, 2.0, 1.5, 1.0, 2.5, 2.0]","[4.627809107360687, 1.4928989930516379, 6.608617992764966, 2.5914485061828776, 0.18392339167243144, 8.247694912483883, 2.907048622288566, 4.38599326911999, 0.17586664786082906, 5.263812863539027, 5.449938010511773, 7.08522614140851]","['MediaUnit', 'Armchair', 'Bookcase', 'CoffeeTable', 'WorkDesk', 'Couch']"
"[11.0, 9.0, 2.0, 1.0, 2.0, 2.5, 2.0, 1.5, 1.0, 2.5, 0.0, 0.0, 0.0, 0.0]","[6.224222065586227, 1.337476367784598, 4.146234936211431, 3.0379759256635546, 1.8669564432733554, 0.4696530287293216, 7.831866641049001, 6.4384623990984435, 0.0, 0.0, 0.0, 0.0]","['MediaUnit', 'Couch', 'CoffeeTable', 'Bookcase']"
"[11.0, 10.0, 2.0, 1.5, 2.0, 2.0, 1.0, 2.5, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0]","[6.643362631898209, 3.844286836353128, 0.19192814328275742, 7.6794727348335226, 4.108898844990775, 3.346226603643927, 2.3056401060221923, 2.213632077468281, 0.0, 0.0, 0.0, 0.0]","['CoffeeTable', 'Closet', 'Bookcase', 'MediaUnit']"
